Well,Plate,tags,Nuclei Big,Nuclei MAP2 Tot,Nuclei SNCA MAP2 Tot,Nuclei SNCA Tot,Nuclei Tot,Nuclei dead,avg intensity LAMP2,avg intensity LAMP2 SNCA SNCA,avg intensity LAMP2 SNCA_LMAP2,avg intensity MAP2,avg intensity SNCA,avg intensity SNCA wo nuclei,avg_intensity_LAMP2_MAP2_Q1,avg_intensity_LAMP2_MAP2_Q2,avg_intensity_LAMP2_MAP2_Q3,avg_intensity_LAMP2_MAP2_SNCA_Q1,avg_intensity_LAMP2_MAP2_SNCA_Q2,avg_intensity_LAMP2_MAP2_SNCA_Q3,avg_nuclei_area,avg_segments_per_branch,avg_segments_per_neurite,compos_LAMP2_MAP2,compos_LAMP2_MAP2_SNCA,compos_LAMP2_MAP2_SNCA_per_nuclei,compos_LAMP2_MAP2_per_nuclei,end points per nuclei,ratio_compos_lamp2_snca_over_map2,ratio_nuclei_MAP2,ratio_nuclei_SNCA,ratio_nuclei_SNCA_MAP2,ratio_surface_LAMP2_SNCA_LAMP2,ratio_surface_LAMP2_SNCA_SNCA,skelet_length_map2,skelet_length_map2_per_nuclei,start points per nuclei,sum intensity LAMP2 SNCA LAMP2,sum intensity LAMP2 SNCA SNCA,sum intensity per nuclei SNCA,sum_intensity_LAMP2_per_nuclei,surface LAMP2,surface LAMP2 SNCA,surface MAP2,surface SNCA,surface SNCA wo nuclei,surface SNCA_tubulin wo nuclei,surface_LAMP2_MAP2_Q1,surface_LAMP2_MAP2_Q2,surface_LAMP2_MAP2_Q3,surface_LAMP2_MAP2_SNCA_Q1,surface_LAMP2_MAP2_SNCA_Q2,surface_LAMP2_MAP2_SNCA_Q3,surface_LAMP2_SNCA_per_nuclei,surface_LAMP2_per_nuclei,surface_MAP2_per_nuclei,surface_SNCA_MAP2_per_nuclei,surface_SNCA_per_nuclei,surface_SNCA_wo_nuclei_per_nuclei
M04,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;Prostratine,0.0,106.0,91.0,93.0,155.0,34.0,666.629,775.051,738.431,616.026,421.071,203.842,270.0,286.222,330.944,271.108,288.455,337.533,2788.52,4.60319,106.047,54541.0,46830.0,514.615,514.538,110.113,0.85862,0.683871,0.6,0.587097,0.627179,0.0604474,369690.0,3487.64,23.0377,6326370.0,6640110.0,59679200.0,5463720.0,1270390.0,796761.0,19756200.0,13181100.0,6688750.0,5764950.0,5.0,11.0,25.0,5.0,12.0,27.0,8755.62,11984.8,186379.0,19241.6,141732.0,71922.1
C04,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;PEP005,0.0,161.0,142.0,142.0,219.0,25.0,549.574,633.687,588.727,667.687,437.963,201.065,272.2,292.852,354.071,273.333,296.143,364.85,3242.34,3.76973,83.3789,71209.0,62391.0,439.373,442.292,81.0,0.876167,0.73516,0.648402,0.648402,0.704599,0.084825,421909.0,2620.55,22.118,5317550.0,5723650.0,46635000.0,4568010.0,1820310.0,1282590.0,22732900.0,15120400.0,5344360.0,4619410.0,5.0,13.0,30.0,6.0,14.0,33.0,9032.3,11306.2,141198.0,18267.6,106482.0,37636.4
L05,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;Prostratine,0.0,151.0,111.0,113.0,217.0,47.0,553.185,573.212,608.54,633.537,405.826,184.958,272.0,290.889,342.778,273.333,294.222,352.789,2804.62,4.0663,92.2053,58043.0,49065.0,442.027,384.391,93.7483,0.845322,0.695853,0.520737,0.511521,0.637113,0.0623302,419814.0,2780.23,22.6755,4649110.0,4379210.0,49741900.0,3454250.0,1355010.0,863295.0,22086500.0,13850400.0,6370490.0,5431880.0,5.0,12.0,26.0,6.0,13.0,29.0,7777.43,8973.58,146268.0,17488.1,122570.0,56376.0
M05,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;Prostratine,0.0,121.0,104.0,105.0,165.0,10.0,446.922,482.474,460.229,635.522,386.889,171.273,271.0,288.4,337.647,272.0,290.778,344.542,2925.21,4.75239,143.711,69040.0,60462.0,581.365,570.579,133.876,0.875753,0.733333,0.636364,0.630303,0.720035,0.0651671,545136.0,4505.26,30.2397,4794630.0,5026380.0,61849900.0,4114950.0,1519210.0,1093880.0,24830800.0,16785800.0,9191900.0,7428060.0,5.0,12.0,26.0,5.0,13.0,29.0,10518.1,12555.4,205213.0,20030.3,159865.0,87541.9
D06,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;PEP005,0.0,85.0,83.0,89.0,117.0,45.0,590.452,747.739,629.813,697.006,490.537,199.7,272.8,295.357,356.895,274.0,299.0,366.685,2823.99,5.74124,144.612,59958.0,51950.0,625.904,705.388,164.129,0.86644,0.726496,0.760684,0.709402,0.684492,0.0929512,355558.0,4183.04,25.1882,7185260.0,8530630.0,60207100.0,7486030.0,1483380.0,1015360.0,16632700.0,10923600.0,4271190.0,3639610.0,5.0,13.0,29.0,6.0,15.0,32.0,12233.3,17451.5,195679.0,21387.9,122737.0,47990.9
K03,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;Prostratine,3.0,145.0,100.0,102.0,236.0,86.0,452.13,462.613,453.482,659.537,372.433,171.72,267.667,280.333,314.682,269.0,282.8,322.111,2914.85,3.06959,54.1517,58610.0,45936.0,459.36,404.207,49.4759,0.783757,0.614407,0.432203,0.423729,0.518914,0.0647371,274827.0,1895.36,17.6414,2924270.0,2983150.0,37098200.0,2428360.0,1267540.0,657745.0,18909100.0,10160300.0,3618470.0,3263240.0,4.0,10.0,23.0,5.0,11.0,26.0,6577.45,8741.67,130408.0,17260.2,99610.3,35475.2
E07,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 Mut;PEP005,0.0,144.0,115.0,115.0,260.0,39.0,410.098,532.084,421.631,768.798,407.318,186.595,270.25,287.727,336.857,271.25,290.436,345.444,2294.85,6.42076,151.646,74328.0,62225.0,541.087,516.167,140.806,0.837168,0.553846,0.442308,0.442308,0.659445,0.0885514,679900.0,4721.53,23.6181,3738840.0,4718290.0,40789000.0,2439150.0,1546410.0,1019770.0,20474300.0,11516100.0,6283410.0,5243030.0,5.0,12.0,26.0,6.0,14.0,28.0,8867.57,10738.9,142182.0,19328.7,100140.0,54638.4
J09,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,DMSO;LRRK2 Mut,4.0,215.0,169.0,172.0,399.0,106.0,442.597,580.66,452.774,738.699,435.613,200.981,273.333,297.316,362.077,276.03,305.0,376.391,2542.77,4.63342,72.6047,68184.0,56318.0,333.243,317.135,70.8326,0.825971,0.538847,0.431078,0.423559,0.610304,0.0843371,411298.0,1913.01,15.6698,2837990.0,3639580.0,32375100.0,1959510.0,1766490.0,1078100.0,19887200.0,12783200.0,4341110.0,3206470.0,6.0,14.0,30.0,7.0,16.0,33.0,6379.27,8216.24,92498.5,13378.7,74320.9,25239.0
L03,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;Prostratine,0.0,120.0,86.0,90.0,177.0,37.0,433.269,512.041,452.481,529.366,356.823,161.517,268.0,281.286,320.313,270.0,286.0,335.043,2553.09,4.14114,89.0,48329.0,34939.0,406.267,402.742,81.1167,0.722941,0.677966,0.508475,0.485876,0.477473,0.0483998,326578.0,2721.48,21.4917,2436400.0,2757110.0,39697000.0,2484430.0,1014950.0,484609.0,18747400.0,10012600.0,4372090.0,3623020.0,4.0,10.0,23.0,5.0,13.0,28.0,5634.99,8457.88,156228.0,15951.0,111251.0,48578.8
B04,SNCA-Mat65-x60-map2-snca-lamp-p1-MP-AV,LRRK2 WT;PEP005,0.0,141.0,122.0,122.0,184.0,28.0,484.303,597.392,491.451,622.985,424.327,171.261,270.75,288.778,344.944,272.0,291.889,354.826,2788.54,4.20781,76.3972,56702.0,49608.0,406.623,402.142,79.1135,0.87489,0.766304,0.663043,0.663043,0.700694,0.0760969,329850.0,2339.36,18.156,3872100.0,4706810.0,43934000.0,3610750.0,1371830.0,961229.0,18207300.0,12631600.0,4823700.0,3926200.0,5.0,12.0,28.0,5.0,13.0,31.0,7878.93,9729.26,129130.0,15996.9,103538.0,39538.6
