Well,Plate,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Big,Nuclei_Number_Dead,Nuclei_Number_Living,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
M04,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 Mut;Sodium Arsenite,0.158399,0.0698192,40.2942,40.3366,7.02904,7.03623,494.295,356.381,395.182,2188980.0,344.126,6.45442,12.8076,648.546,814.43,469547.0,618152.0,13309.4,5063.05,6142.26,16155.5,5319.68,0.504425,9636030.0,6185250.0,3665650.0,12262000.0,4037640.0,346.79,520.021,1844810.0,0.00207203,0.00187555,0.00197424,0.00187539,392.298,577.221,419.237,577.139,155126000.0,157759000.0,154213000.0,157763000.0,1.58855,1.67231,1.61062,1.67268,5.17417e-05,4.65781e-05,5.18939e-05,4.65449e-05,3.30807,3.35579,3.32501,3.35597,-0.295203,-0.272113,-0.284835,-0.272046,0.821927,0.803847,0.813587,0.803858,0.159638,0.140072,0.149441,0.139712,103.089,104.166,103.404,104.165,2.20794,2.21546,2.21117,2.21546,5125.16,5191.2,5136.0,5191.14,19843.4,19995.3,19858.1,19995.1,239.897,253.879,1926.76,1749.9,1266930.0,1940250.0,338.365,449.133,-4.25788,893.256,13.038,-3.36416,439.9,542.603,171.0,362.057,718.986,-3.78482,17.2686,107.587,1892820.0,5461.65,317.101,276.869,324.591,4268.39,838.837,3963.05,0.718967,0.718967,1.0,0.753724,0.753724,2.0,899.0,1007.0,724.0,724.0,1007.0,759.0,759.0,0.471668,0.528332,2096.99
E13,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 WT;Tunicamycin,0.336994,0.145699,44.0261,47.2913,16.1076,17.3748,555.76,287.158,490.859,3667070.0,309.148,5.0625,9.77419,555.219,733.73,319806.0,432167.0,16307.8,8437.56,12770.2,18919.8,8584.09,0.744868,9393280.0,8300630.0,4860030.0,11143800.0,5056030.0,307.551,579.154,2640050.0,0.00109205,0.000936882,0.000997495,0.000936364,480.752,675.594,496.644,672.061,263553000.0,269076000.0,262964000.0,269137000.0,1.67125,1.75609,1.6907,1.75434,4.20045e-05,3.72867e-05,4.22819e-05,3.73361e-05,3.4961,3.54515,3.51207,3.54453,-0.291718,-0.269569,-0.282977,-0.269814,0.830995,0.813668,0.824149,0.813749,0.131369,0.111658,0.122083,0.112116,121.087,122.442,121.499,122.441,2.31987,2.32447,2.32271,2.32446,6264.89,6354.5,6282.41,6354.43,24255.6,24495.8,24301.9,24497.2,226.837,233.619,8938.29,5084.14,2928460.0,5809890.0,317.918,504.196,-5.85468,877.609,11.2822,-4.60323,446.391,535.875,171.017,357.85,708.352,-5.09621,7.28115,111.162,3693200.0,12484.0,299.915,243.384,386.942,4466.08,1754.47,4451.97,0.886154,0.886154,1.0,0.906154,0.906154,1.0,283.0,650.0,576.0,576.0,650.0,589.0,589.0,0.303323,0.696677,2355.8
E14,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 WT;Tunicamycin,0.223598,0.0658913,30.3134,28.811,5.02814,4.74016,533.993,343.43,394.714,2554240.0,337.01,3.82532,10.3851,474.313,799.158,295971.0,514658.0,13559.6,6431.69,7437.42,17760.5,6778.23,0.508497,8461200.0,5816060.0,4013380.0,11437700.0,4365180.0,336.354,488.81,2279890.0,0.00164624,0.00146259,0.00154354,0.00146493,417.448,601.115,444.77,593.517,202800000.0,206938000.0,200928000.0,206931000.0,1.62039,1.70468,1.64392,1.7031,4.77104e-05,4.2726e-05,4.76769e-05,4.27844e-05,3.39571,3.44379,3.41325,3.44304,-0.301498,-0.279241,-0.291396,-0.279615,0.832793,0.816239,0.824979,0.816523,0.149525,0.12976,0.139291,0.129959,113.048,114.311,113.386,114.31,2.27126,2.27802,2.27424,2.27794,5840.05,5921.94,5851.78,5921.85,22633.9,22849.8,22652.7,22853.3,231.26,237.624,3312.35,3134.3,1955800.0,2590260.0,333.343,515.67,-5.99418,899.97,11.2294,-4.78177,463.908,546.661,171.0,363.646,724.545,-5.33142,10.9862,119.244,2324870.0,6761.2,297.731,253.212,317.974,4069.24,1167.14,4246.48,0.797954,0.797954,1.0,0.823529,0.823529,0.0,501.0,782.0,624.0,624.0,782.0,644.0,644.0,0.390491,0.609509,2271.07
J11,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 WT,0.172892,0.0548773,32.6188,39.2212,4.52633,5.35847,556.515,328.462,499.215,2214340.0,321.797,3.48874,8.62,488.318,733.504,216813.0,330077.0,15585.9,6314.08,6741.52,18895.6,6451.13,0.430511,6920130.0,3660650.0,2803450.0,8503020.0,2903010.0,320.751,622.224,2069200.0,0.00345269,0.00322638,0.00338372,0.00326103,433.177,596.975,442.664,591.673,208487000.0,212734000.0,207122000.0,212821000.0,1.62905,1.70516,1.64559,1.70338,4.59675e-05,4.18421e-05,4.65447e-05,4.1893e-05,3.39504,3.4386,3.40963,3.43809,-0.292585,-0.272323,-0.283996,-0.272678,0.823409,0.80762,0.81627,0.807859,0.146185,0.128076,0.137155,0.128466,113.152,114.417,113.52,114.414,2.25845,2.26494,2.26149,2.26494,5761.03,5843.81,5775.45,5843.62,22310.0,22539.9,22348.7,22541.7,233.178,231.998,2945.37,2956.93,1312880.0,1599340.0,326.668,477.665,-4.92904,1242.47,11.0869,-4.0148,597.947,732.775,171.0,452.73,992.931,-4.52628,6.40669,185.289,2164010.0,6444.13,296.934,235.658,403.164,4021.8,843.867,4128.19,0.81768,0.81768,1.0,0.828729,0.828729,2.0,252.0,543.0,444.0,444.0,543.0,450.0,450.0,0.316981,0.683019,2316.24
C04,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 Mut;Tunicamycin,0.195031,0.0993581,19.9941,53.1374,5.57567,13.1599,502.899,331.085,569.548,2682620.0,360.631,4.78289,11.9518,475.482,770.827,361366.0,623599.0,12103.8,5740.18,8102.53,17445.3,6423.9,0.53105,9198920.0,7494840.0,4362540.0,14113300.0,5190510.0,357.552,742.934,2296880.0,0.00181425,0.00160812,0.00170911,0.0016098,431.212,627.169,452.144,620.109,216762000.0,220651000.0,215617000.0,220725000.0,1.6163,1.7031,1.63615,1.70093,4.83614e-05,4.31564e-05,4.86786e-05,4.33622e-05,3.38374,3.43381,3.39988,3.43253,-0.304174,-0.280807,-0.294894,-0.281461,0.833981,0.816649,0.826897,0.817192,0.154155,0.133419,0.144332,0.133787,112.857,114.111,113.232,114.112,2.26661,2.27251,2.26911,2.2725,5936.87,6019.11,5952.65,6019.15,23015.3,23225.0,23051.7,23228.7,246.408,263.558,4373.57,2596.57,1973400.0,4045550.0,349.173,510.832,-5.15277,1037.67,12.2603,-4.02932,517.213,621.746,171.188,399.549,832.565,-4.50269,8.64905,143.221,2672420.0,7548.16,303.442,299.766,527.144,3662.58,1323.66,4329.01,0.821622,0.821622,1.0,0.874595,0.873514,4.0,406.0,925.0,760.0,760.0,925.0,809.0,808.0,0.305034,0.694966,2348.29
D14,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 WT;Tunicamycin,0.222755,0.0699316,38.473,40.0038,6.71866,6.9781,559.375,303.41,459.641,3356770.0,344.944,4.37882,10.5697,558.802,876.556,274372.0,440031.0,14422.9,6912.79,11063.5,19649.0,7657.35,0.712232,7081620.0,7025310.0,3394180.0,9863780.0,3843990.0,334.893,633.709,2564390.0,0.00154103,0.0013668,0.00144273,0.00136259,452.422,640.647,474.866,640.384,226487000.0,232031000.0,225665000.0,232099000.0,1.63958,1.72052,1.66003,1.72153,4.5617e-05,4.10777e-05,4.5889e-05,4.09818e-05,3.41269,3.45928,3.42935,3.45964,-0.297054,-0.275642,-0.287485,-0.275447,0.829542,0.81321,0.821954,0.813124,0.14434,0.125291,0.134518,0.124966,115.864,117.174,116.231,117.174,2.27628,2.28302,2.27941,2.28308,6092.76,6180.74,6106.1,6180.81,23612.9,23850.8,23640.5,23851.2,228.429,250.702,6914.22,3593.73,1764520.0,4390530.0,335.617,528.553,-6.07538,879.971,11.1096,-4.83698,462.172,538.227,171.009,358.412,711.278,-5.44015,7.95614,115.26,3105060.0,9637.32,301.809,250.11,366.528,4324.2,1306.96,4511.78,0.773228,0.773228,1.0,0.790551,0.790551,2.0,422.0,635.0,491.0,491.0,635.0,502.0,502.0,0.399243,0.600757,2259.96
L05,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 Mut;Sodium Arsenite,0.14595,0.0375064,33.7097,44.5662,3.24102,4.20573,504.351,273.167,559.506,2628820.0,311.681,5.59155,7.34873,490.892,511.345,453093.0,464813.0,12428.4,5873.21,9623.49,13164.9,5960.95,0.932844,11471400.0,11163300.0,5420970.0,11966900.0,5418500.0,310.457,640.587,1850620.0,0.00140607,0.00123967,0.00131109,0.00123815,454.324,639.789,478.589,637.067,213183000.0,216795000.0,212445000.0,216834000.0,1.6473,1.72826,1.66738,1.72821,4.47002e-05,4.02547e-05,4.50739e-05,4.02353e-05,3.42167,3.46792,3.43797,3.46784,-0.286195,-0.264543,-0.276844,-0.264568,0.82138,0.803892,0.813592,0.80395,0.138131,0.11932,0.128693,0.119108,112.682,113.863,113.071,113.864,2.26811,2.27345,2.27116,2.27347,5648.36,5723.31,5664.33,5723.37,21850.7,22037.1,21886.1,22038.6,208.117,232.421,6047.55,2739.6,2528650.0,7015160.0,312.28,454.404,-5.17366,837.823,12.1335,-3.84405,424.681,515.591,171.0,347.263,678.374,-4.24805,8.1873,102.298,2565030.0,8863.82,306.059,236.349,422.577,4028.7,1374.45,3645.64,0.79569,0.79569,1.0,0.783621,0.783621,4.0,507.0,1160.0,923.0,923.0,1160.0,909.0,909.0,0.304139,0.695861,2175.94
J13,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 WT,0.123316,0.0253747,29.5104,28.4264,1.85089,1.82721,537.911,314.602,478.171,3555640.0,377.687,3.70383,7.5405,460.997,628.726,277059.0,380379.0,14287.1,7186.75,11302.0,16898.8,7405.49,0.816936,8586570.0,8352200.0,4319240.0,10223800.0,4480320.0,370.538,556.857,2744010.0,0.00232625,0.00211345,0.00221816,0.00212229,444.049,620.652,461.937,617.124,210708000.0,214842000.0,209222000.0,214847000.0,1.62627,1.70673,1.64598,1.70595,4.74979e-05,4.28306e-05,4.78649e-05,4.28928e-05,3.39612,3.443,3.41209,3.44277,-0.290745,-0.268554,-0.281341,-0.268744,0.822577,0.805006,0.814755,0.805174,0.148049,0.128618,0.138402,0.128663,111.989,113.232,112.339,113.233,2.25773,2.26325,2.26033,2.26315,5643.87,5724.03,5656.06,5724.08,21840.3,22053.8,21866.3,22055.8,270.422,349.158,7681.4,4059.95,2440030.0,5676550.0,328.62,503.304,-6.02183,928.301,11.2469,-4.72512,455.918,561.706,171.002,370.868,746.258,-5.23847,8.47069,115.619,3743900.0,12024.3,296.387,249.217,387.603,4299.68,1549.87,4272.68,0.813261,0.813261,1.0,0.818674,0.818674,0.0,314.0,739.0,601.0,601.0,739.0,605.0,605.0,0.298196,0.701804,2279.18
M05,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 Mut;Sodium Arsenite,0.108077,0.0334739,39.3724,36.6351,3.30119,3.05713,491.248,291.27,515.559,2909910.0,350.053,5.80144,8.31395,550.804,593.821,382809.0,408549.0,13431.9,5825.68,9990.43,14368.1,5931.5,0.882288,9335180.0,8721650.0,4048850.0,9885270.0,4074940.0,348.105,667.009,2064790.0,0.00189254,0.00168379,0.00178527,0.00169196,445.128,623.636,464.865,618.507,210447000.0,214346000.0,209598000.0,214379000.0,1.63336,1.71513,1.6545,1.71249,4.63671e-05,4.1752e-05,4.66634e-05,4.19786e-05,3.40251,3.44942,3.41936,3.44802,-0.290612,-0.268601,-0.280851,-0.269332,0.823618,0.806245,0.81569,0.806817,0.144307,0.124719,0.134406,0.125407,113.603,114.826,113.978,114.825,2.26095,2.26743,2.26419,2.26732,5789.02,5868.07,5803.39,5867.93,22413.8,22620.5,22446.0,22622.4,233.678,303.312,6292.72,2642.69,1836670.0,5493550.0,333.025,498.388,-5.61372,946.117,12.7772,-4.10202,480.792,573.261,171.0,375.669,762.251,-4.60036,12.6029,126.674,2484740.0,7753.22,303.549,269.248,434.238,4208.62,1278.87,3935.63,0.796105,0.796105,1.0,0.788087,0.786942,1.0,370.0,873.0,695.0,695.0,873.0,688.0,687.0,0.297667,0.702333,2224.16
L11,SNCA-Mat66-x40-map2-snca-TH-p1-AV,LRRK2 WT;Sodium Arsenite,0.112479,0.0340305,40.4128,32.1,3.44816,2.78486,500.515,322.779,480.401,1940530.0,318.032,4.84396,6.97691,564.631,596.531,256907.0,258298.0,15520.1,5616.91,6011.95,15911.4,5710.51,0.492152,7061670.0,3390740.0,2555700.0,6889630.0,2466940.0,315.269,629.094,1800350.0,0.00168399,0.00151093,0.00158691,0.00151801,455.049,624.681,475.502,621.619,197939000.0,201559000.0,196281000.0,201589000.0,1.64204,1.71856,1.663,1.71726,4.55856e-05,4.14225e-05,4.57801e-05,4.14899e-05,3.41169,3.4557,3.42853,3.45488,-0.288825,-0.268424,-0.279204,-0.268896,0.822652,0.806598,0.814748,0.806993,0.141618,0.123453,0.131856,0.123694,114.095,115.325,114.474,115.324,2.26491,2.27204,2.26848,2.2719,5742.8,5821.66,5757.04,5821.55,22222.0,22432.6,22253.5,22433.7,254.934,260.433,2564.53,2585.34,1176330.0,1446390.0,309.283,437.994,-4.95465,858.987,12.4598,-3.69316,441.353,527.399,171.0,353.089,695.542,-4.06175,8.33471,108.931,1856640.0,6017.15,294.502,231.561,349.755,4717.51,1075.84,4237.59,0.806738,0.806738,1.0,0.76773,0.765957,0.0,219.0,564.0,455.0,455.0,564.0,433.0,432.0,0.279693,0.720307,2108.42
